d	0.352900
und	0.494600
eine	0.453000
sein	0.495300
in	0.501900
zu	0.452000
von	0.682800
werden	0.447200
sie	0.340400
er	0.336300
die	0.441700
sich	0.443900
haben	0.568600
mit	0.556000
diese	0.428100
nicht	0.456500
auf	0.464000
so	0.563800
es	0.455200
ich	0.443100
als	0.616300
auch	0.711100
an	0.555900
ihr	0.458000
wie	0.642200
im	0.505200
daß	0.584800
seine	0.461000
aber	0.550700
man	0.539600
durch	0.524800
nach	0.660600
welche	0.604500
bei	0.703200
können	0.512000
wir	0.494100
aus	0.576100
oder	0.655400
nur	0.543100
für	0.614700
alle	0.539400
noch	0.558500
wenn	0.450200
um	0.629700
groß	0.477700
über	0.563900
müssen	0.527100
ganz	0.565200
da	0.580300
unter	0.553600
ander	0.556300
zur	0.498100
keine	0.535100
zum	0.463800
was	0.562600
selbst	0.531600
vor	0.520600
lassen	0.555800
doch	0.562900
du	0.539700
wollen	0.514400
am	0.607600
dieselbe	0.701100
kommen	0.435400
erst	0.643600
sollen	0.641600
machen	0.482700
bis	0.535600
mehr	0.601000
geben	0.583100
sehr	0.608600
hier	0.630100
sehen	0.536900
schon	0.644700
finden	0.579300
jede	0.567100
nun	0.655500
Zeit	0.449500
viel	0.563500
wieder	0.499200
sagen	0.481300
denn	0.503600
wo	0.681700
dann	0.550400
gut	0.547200
unsere	0.520000
gehen	0.450500
ohne	0.646700
gegen	0.566500
vom	0.647700
solch	0.417400
sondern	0.545300
alt	0.598300
meine	0.686200
stehen	0.579900
hoch	0.522800
neu	0.663300
beide	0.700600
immer	0.554700
Jahr	0.416800
jen	0.536800
Teil	0.563800
klein	0.660400
nehmen	0.532400
also	0.634800
S.	0.561800
wohl	0.651500
liegen	0.503300
weit	0.655500
jetzt	0.634700
weil	0.507700
gleich	0.720900
bleiben	0.603900
Art	0.536100
zwei	0.494700
Tag	0.483100
Mensch	0.517500
halten	0.535100
wissen	0.528000
eben	0.852400
lang	0.617500
zwischen	0.627300
nichts	0.610500
Herr	0.574100
mögen	0.626500
etwas	0.545800
bringen	0.471200
verschieden	0.550500
während	0.710000
allgemein	0.702600
ja	0.608400
Leben	0.430100
einige	0.599300
daher	0.726600
Mann	0.502000
=	0.682200
zeigen	0.460400
einzeln	0.493100
sprechen	0.575700
Form	0.512400
allein	0.774600
scheinen	0.586800
1	0.583700
Seite	0.652100
u.	0.795000
dürfen	0.657700
bloß	0.679400
erhalten	0.574800
Hand	0.463000
schön	0.398700
ob	0.666000
tun	0.611200
Auge	0.565300
Wort	0.591000
deutsch	0.689200
erscheinen	0.608400
setzen	0.508600
zwar	0.728900
eigen	0.582200
gar	0.694200
B.	0.546700
andere	0.611700
Volk	0.524900
Recht	0.524300
Grund	0.610500
wenige	0.641100
Fall	0.631400
Weise	0.533800
s.	0.817700
König	0.564600
Staat	0.597900
oft	0.500500
Wasser	0.471800
bilden	0.520100
früh	0.703400
nennen	0.592300
bald	0.666600
indem	0.492200
führen	0.530400
2	0.611700
mich	0.606200
einmal	0.598800
de	0.721800
a	0.820300
Stadt	0.546700
gewiß	0.501000
Verhältnis	0.559000
Gott	0.550000
leicht	0.654000
Haus	0.547200
mein	0.626400
stark	0.604900
damit	0.524900
b	0.897200
Land	0.576400
Kraft	0.566500
treten	0.545800
z.	0.606500
drei	0.561900
Kind	0.460900
ziehen	0.491200
besonders	0.705400
endlich	0.750500
fast	0.637900
v.	0.701900
Name	0.700700
Fuß	0.666600
frei	0.736100
Tier	0.554200
Stelle	0.502800
Welt	0.608300
Gesetz	0.492900
bestehen	0.550600
wenig	0.682500
zweit	0.724700
Natur	0.548300
spät	0.688400
einander	0.622600
nämlich	0.844200
beim	0.609700
stellen	0.538700
tragen	0.621100
gehören	0.444500
recht	0.690500
kurz	0.655500
glauben	0.536600
darauf	0.549300
d.	0.774000
Frau	0.581300
gerade	0.651900
letzte	0.652300
dadurch	0.560600
tief	0.704400
jung	0.700600
je	0.796800
letztere	0.705300
überhaupt	0.636000
3	0.716000
wirklich	0.558900
eigentlich	0.711300
ein	0.707300
Geist	0.574400
Weg	0.499700
oben	0.835800
dort	0.631900
Sinn	0.532600
wer	0.564100
suchen	0.802800
Ende	0.569500
weiter	0.700500
manche	0.610000
bestimmt	0.493500
übrig	0.659700
welchen	0.617800
Herz	0.548600
lange	0.663600
ins	0.595200
ab	0.749800
dagegen	0.706300
Erde	0.503700
denken	0.489800
wegen	0.715000
zugleich	0.631400
gewöhnlich	0.699600
mehrere	0.554300
legen	0.602600
jedoch	0.638900
besondere	0.534800
Körper	0.501500
dazu	0.669400
Arbeit	0.546500
geschehen	0.483100
vielleicht	0.666500
enthalten	0.464100
Bewegung	0.713800
kennen	0.598200
voll	0.564700
Vater	0.514400
fest	0.711100
dabei	0.605300
Sache	0.676100
4	0.766500
rein	0.584400
einfach	0.627600
natürlich	0.588500
diejenige	0.713600
h.	0.772300
seit	0.654200
Kopf	0.514000
Boden	0.523500
Jahrhundert	0.630300
hin	0.738600
darin	0.615000
teils	0.913000
folgend	0.629200
erklären	0.683900
sonst	0.614400
c	0.849000
entstehen	0.548000
hören	0.450500
bestimmen	0.608900
folgen	0.841300
heute	0.662100
bereits	0.558900
ähnlich	0.657700
etwa	0.678800
möglich	0.557200
erkennen	0.501500
davon	0.650800
heißen	0.759400
gering	0.476800
einzig	0.645000
nie	0.558300
schwer	0.714000
Geschichte	0.572100
Maß	0.604600
inner	0.678100
W.	1.035400
Gegenstand	0.561800
Bild	0.581100
Stunde	0.520900
leben	0.583500
wahr	0.581500
Kunst	0.538300
zurück	0.632900
deine	0.637000
genau	0.712000
a.	0.813700
Wesen	0.416600
Frage	0.573700
neben	0.663000
wenigstens	0.745400
De	0.791900
namentlich	0.708700
et	0.685800
annehmen	0.556300
kaum	0.616100
Wert	0.526200
Höhe	0.626000
Begriff	0.628200
bekannt	0.601600
rufen	0.515600
Zustand	0.563600
Luft	0.485500
zusammen	0.679400
ebenso	0.772800
1.	0.688100
Gestalt	0.594500
schließen	0.585000
Folge	0.588800
gelten	0.604600
äußer	0.598100
wichtig	0.573900
verstehen	0.536100
selten	0.548000
statt	0.667400
Person	0.535900
5	0.625600
öffentlich	0.671100
Werk	0.510500
Ding	0.512700
Punkt	0.695800
nachdem	0.639300
bemerken	0.551900
zuerst	0.807100
hinter	0.626000
sogar	0.752500
unmittelbar	0.614400
fallen	0.496800
Seele	0.586600
meiste	0.704200
nah	0.733600
Gedanke	0.530300
Ausdruck	0.705200
sitzen	0.381200
Stück	0.621200
häufig	0.539000
Ort	0.615700
beginnen	0.635500
schreiben	0.567000
Freund	0.504400
6	0.725000
uns	0.504900
freilich	0.603100
Tod	0.465500
